T,RH,TOW,Prec,SO2,H+,CR
9.5,79,2830,639.3,77.5,0,14.89
10.3,74,2555,380.8,58.1,0.0221,6.980000002
9.1,73,2627,684.3,41.2,0.0714,7.779999999
9.8,77,3529,581.1,32.1,0.0342,5.689999999
7,77,3011,850.2,19.7,0,8.949999997
7.4,76,3405,703.4,25.6,0.045,7.990000002
6.6,73,2981,921,17.9,0.1921,6.770000001
7.2,74,3063,941.2,12.2,0.0366,3.46
9.6,73,2480,426.4,83.3,0,16.41
9.9,72,2056,416.6,78.4,0.0242,11.59
8.9,71,2866,431.6,49,0.058,11.74
9.7,75,2759,512.7,49.2,0.0567,12.17
6.4,80,4127,657,13.9,0.0392,8.419999998
5.6,79,3446,754.6,2.3,0.0231,5.179999999
6,80,3607,698.1,2.6,0.0334,4.68
3.1,78,2810,801.3,6.3,0,8.920000004
3.9,80,3342,670.7,1.8,0.0271,7.700000001
3.4,81,2994,609.7,0.9,0.0201,6.62
3.9,83,3324,675.4,0.8,0.0247,4.61
6.8,80,4017,665.6,15.3,0.0554,9.290000002
6.2,78,3360,702.4,4.8,0.0221,5.689999999
6.6,76,3288,649.2,5.5,0.0139,5.620000001
10.2,80,4390,499.7,11,0.0358,7.850000002
8.9,81,4382,624.4,8.2,0.0342,9.069999999
9.5,81,4676,595.6,3.9,0.0265,4.25
12.2,67,2541,655.4,14.2,0.0411,4.68
11.4,64,3563,561.2,12.6,0.0183,5.179999999
11.6,65,2359,779,9.6,0,4.100000001
11.7,80,4940,697.6,20.3,0.0366,6.62
10.7,79,4437,619.1,16.3,0.0291,9.069999999
11.4,81,5210,841,11.1,0.0278,7.629999998
12,76,4107,696.6,48.5,0.0253,10.66
10.3,78,4201,707.3,41.6,0.0211,15.34
11.8,80,4930,912.9,30.2,0.0334,7.850000002
11.5,77,4040,644.5,25.6,0.042,9.719999995
10.1,79,4120,683.6,22.9,0.0253,11.45
10.9,78,4632,889.3,16.2,0.0247,7.060000003
8,82,4989,1491.5,9.4,0,8.350000001
7.3,82,4201,1183.1,6.1,0.0171,7.270000003
7.1,84,4545,1552.4,3.2,0.0018,7.2
7.4,83,4375,1503,2.4,0,3.739999998
